"~(으)ㄹ게요","To volunteer to do something for someone else"
"~(으)ㄹ 수 있다","have the ability or situation permits"
"~(으)ㄹ 수 없다","not have the ability or situation not permits"
"~(으)ㄹ 줄 알다","know how to do something"
"~(으)ㄹ 줄 몰다","not know how to do something"
"~도 돼요","to be allowed to"
"~면 안 돼요","to not be allowed to"
"입었어요","wearing"
"~지 않다","more formal than 안"
"춥죠?","is it cool? (assume agreement)"
"춥지 않아요?","is it cool? (softer, unsure)"
"~아/어 보세요","try something"
"deferential","used for unspecified audiences/very formal settings"
"honorific","show respect to subject"
"polite","show respect to listener"
"가셔","to go (honorific, plain)"
"~에게","to a person (more formal)"
"~한테","to a person (less formal)"
"~(으)ㄹ까요","let's"
"~(으)ㄹ래요","I'd like/would you like"
"~고 계세요","present progressive (honorific)"
"아니었어요","to not been"
