"공항","airport"
"기사","driver"
"모레","day after tomorrow"
"손님","guest, customer"
"연락","contact"
"전","before"
"후","after"
"휴일","holiday, day off"
"적어도","at least"
"건너다","to cross"
"돈을 내다","to pay"
"수고하다","to put forth effort"
"운전하다","to drive"
"어디까지 가세요?","Where are you going?"
"토요일이라서 그래요","Because it is Sunday, it's like that"
"다 왔어요","we've arrived"
"얼마 나왔어요?","How much is the bill?"
"수고하세요","Thanks for your trouble"
"게임","game"
"계단","stairs"
"곳","place"
"목소리","voice"
"엘리베이터","elevator"
"웬일","what matter"
"정류장","bus stop"
"출구","exit"
"택시비","taxi fare"
"휴게실","lounge"
"더","more"
"배가 부르다","to have a full stomach"
"적다","to be few"
"노래 부르다","to sing"
"도착하다","to arrive"
"마중 나오다","to come out to greet someone"
"마중 나가다","to go out to greet someone"
"목이 마르다","to be thirsty"
"졸다","to doze off"
"마중","receiving or meeting someone"
"웬일이세요?","What brings you here?"
"전화비","telephone expenses"
"버스비","bus fare"
"학비","tuition"
"30 분 후부터","30 min from now"
"길이 막히는 시간","rush hour"
"오래 걸리다","to take a long time"
"연락 주다","to contact"
"연락 드리다","to contact (hon)"
"그동안","for some time"
"후부터","from now"
"나오다","to come out"
"나가다","to go out"
"택시비 많이 나오다","taxi fare to come out to a lot"
"마로","right, exactly"
"출구 마로 앞에","right in front of the exit"
"편지 부치다","to mail letter"
"출구로 나가다","to go out the exit"
"즐겁다","to be joyful"
"얘기하다","to talk, chat"
"벤치","bench"
"내려가다","to go down"
"담배를 피우다","to smoke"
"금연구역","nonsmoking area"
"더 드세요","Please eat more (hon)"
"모르다","to not know"
"보내다","to send; to spend time"
"보내 주다","to send (listener sends)"
"크리스마스 즐겁게 부내세요","Merry Christmas"
"안부 좀 전해 주세요","Please give my regards to"
"얼마","how much (noun)"
"얼마나","how much (adv)"
"아직","yet, still"
"이사하다","to move"
