"것","A thing or  an object"
"하다","To do"
"있다","To be"
"수","way, method, Number"
"하다","To do"
"나","I"
"없다","Do not exist, absent"
"않다","To not do"
"사람","Person"
"우리","we, our"
"그","He, That"
"아니다","To not be"
"보다","To try"
"거","thing"
"보다","To see"
"같다","To be similar"
"주다","To give, to do for a person"
"대하다","Face, confront"
"가다","To go"
"년","Year"
"한","One, a single"
"말","words,speaking"
"일","Work"
"이","A person, This"
"말하다","Speak"
"위하다","To do for the sake of"
"그러나","However or  but still"
"오다","To come"
"알다","To know"
"씨","~ Mr."
"그렇다","That is right or  yes."
"크다","To be big, large"
"일","One day"
"사회","culture,society"
"많다","many, much"
"안","~ not ~ + VERB"
"좋다","To be good"
"더","More"
"받다","Receive"
"그것","That thing"
"집","House"
"나오다","Come out"
"그리고","And or  and then"
"문제","question,problem"
"그런","Such a"
"살다","To live"
"저","That"
"못하다","Be impossible"
"생각하다","To think"
"모르다","To not know"
"속","The inside"
"만들다","To make"
"데","Place, point, instance"
"앞","In front of, before"
"경우","A case or  an instance"
"중","The center, the middle"
"어떤","What kind of, what sort of"
"잘","Well"
"그녀","She"
"먹다","Eat, chow down on"
"자신","one’s own self, one\’s own body"
"문화","culture"
"원","A unit of south korean  money, KRW"
"생각","Thought"
"어떻다","how,what.. do you think of"
"명","Person counter"
"통하다","Run, lead; flow; go through"
"그러다","and so, and then, well"
"그러다","and so, and then, well"
"소리","A sound,noise"
"다시","Again"
"다른","Different"
"이런","Such, like this"
"여자","woman,female"
"개","Unit or  piece"
"정도","grade,degree"
"다","All, everything"
"좀","A little"
"싶다","want,hope"
"보이다","see,catch sight of"
"가지다","To have or  take or  hold"
"함께","Together, with"
"아이","Child"
"지나다","pass,elapse,go on"
"많이","A lot"
"시간","Time"
"너","You"
"인간","A person, a human being"
"사실","The truth, a fact"
"나다","To be born"
"이렇다","Like this"
"어머니","Mom"
"눈","Eyes"
"뭐","Huh? (2) something"
"점","Store"
"의하다","To be due to, owing to"
"시대","An age,period"
"다음","Next"
"이러하다","Be this way, be like follows"
"누구","Who"
"곳","Place"
"여러","many,various"
"안","Inside"
"하나","One"
"세계","World"
"버리다","(following a verb) the verb\’s action is over, perhaps in a sad way"
"위","The upper part, above"
"운동","Motion, movement"
"퍼센트","Percent"
"학교","School"
"자기","Oneself, number one, numerouno, self"
"가장","Most"
"대통령","The president"
"가지","One of the kind or  a sort"
"시작하다","To start,begin"
"바로","Right, correctly"
"어느","Some, a certain"
"그래서","And so accordingly"
"무엇","That thing,whatever"
"정부","Government"
"모든","Every one"
"번","Number, how many times"
"그거","That thing"
"돈","Money"
"국가","A state or  a nation"
"그런데","But or  however"
"날","Day"
"여기","A hobby"
"모두","Everybody"
"여성","Female"
"친구","A friend"
"마음","Heart"
"후","After"
"놓다","Put, place"
"관계","Connection or  relation"
"아버지","Father"
"남자","Boy"
"어디","Where?"
