"아까 제가 먹은 피자","the pizza I was just eating"
"제가 책상위에 놓은 지갑","the wallet I put on the table"
"제가 만든 김치","the kimchi I made"
"노란 장갑 긴 할머니","the older woman wearing yellow gloves"
"남자아이","boy"
"여자아이","girl"
"눈이 온다","It's snowing (talking to self)"
"~ㄹ 것 같아요","It's like... (future)"
"~은 것 같아요","It's like... (present)"
"~ㄴ 것 같아요","It's like... (past)"
"상사","boss"
"~자고 하다","Indirect speech (suggest to do together)"
"~라고 하다","Indirect speech (request/tell)"
"~ㄴ/는 다고 했어요","Indirect speech (statement, present tense)"
"밥 먹었냐?","Have you eaten? (very close relationship)"
"밥 먹었냐고 했어요.","They asked if you have eaten."
"~다고 하다","Indirect speech (status verb)"
"이번 주말에 날씨가 좋은데 뭐 하세요?","The weather this weekend will be nice; what are you up to?"
"가 봤어요?","Have you tried going? (short form)"
"간 적이 있어요?","Have you tried going? (medium form)"
"가 본 적이 있어요?","Have you tried going? (long form)"
"하교 어떻게 가는지 아세요?","Do you know how to get to school?"
"뭐 먹은지 아세요?","Do you know what was eaten? (past)"
"뭐 먹는지 아세요?","Do you know what is being eaten? (present)"
"뭐 먹을지 아세요?","Do you know what will be eaten? (future)"
"북한","North Korean"
"어렵다고 생각합니다.","I think it's hard. (deferential)"
"~은/ㄴ 지 <시가> 됐다","It's been <시가> since..."
"한국어를 배운 지 6개월 됐어요.","I've been learning Korean for 6 months."
"여기로 이사 온 지 2주일쯤 됐어요.","It's been about 2 weeks since I've moved here."
"전화번호 바꾸다","to change phone number"
"전화번호 바꾼 지 3일 됐어요.","It's been 3 days since I changed my phone number."
"아침 식사한 지 3시간빡에 안 됐어요.","It hasn't been more than 3 hours since I ate breakfast."
"~인데","add supplementary info about someone (following a name, pronoun, or noun)"
"이분은 한스 씨인데 독일 사람이에요.","This person is Hans; he's a German."
"소설책","novel"
"이번에 새로","just newly/recently"
"이것은 이번에 새로 나온 소설책인데 아주 재미있어요.","This is the just released novel; it's very interesting."
"동창","schoolmate; fellow alumnus"
"밥 먹은 지 한 시간 됐어요.","It's been one hour since I've eaten."
"김치인데 매운 음식이에요.","This is kimchi; it's a spicy food."
"전통 옷","traditional clothing"
"모르는 사람과 인사하기","greeting with someone you don't know"
"학교에서 배운 지 얼마나 되셨어요?","How long have you been learning (it) at school?"
"하지만 한국에 온 것이 처음은 아니에요.","However, this is not the first time coming to Korea."
"회사에 들어간 첫 날","first day at the company"
"성격이 잘 맛다","to have matching personalities"
"다니다","1) to attend; 2) to wonder around"
"요리한지 이틀 됐어요.","It's been two days since I've cooked."
"버블티","bubble tea"
"새로 문 열다","newly opened"
"식당 새로 문 연지 2주 됐어요.","It's been two weeks since the restaurant opened."
"친구 본지 1년 됐어요.","It's been a year since I've seen my friend."
"잘 부탁드립니다.","I'll seek your guidance/assistance. (variant 1)"
"잘 부탁합니다.","I'll seek your guidance/assistance. (variant 2)"
"신입","newcomer"
"목이 붛다","to have a sore throat"
"갔다 오다","to come and go"
"개인 수업","private lessons"
"앞으로","going forward"
"~라고 합니다.","My name is .../I'm called ..."
"궁금한 것","something (you're) curious about"
"뭐든지","whatever"
"부탁드립니다","to request (humble)"
"어디든지","wherever"
"누구든지","whoever"
"얼마든지","however much"
"어떻게든지","by whatever means"
"우연히","by chance"
"기간","time span; term"
"한국에서 산 기간","the time span in which (she) lived in Korea"
"~게 되다","to end up"
"한국에서 근무하게 돼요.","(I) ended up working in Korea."
"근무하다","to work"
"평일","weekday"
"결혼 기념일","wedding anniversary"
"유창하게","fluently"
"취미로 재즈 음악을 듣다","to listen to jazz music as a hobby"
"시골","countryside"
"짓다","to build (e.g., house, nest)"
"얼마 안 됬어요.","Hasn't been a long time."
"이 약은 세 시간마다 먹어야 돼요.","You should take this medicine every three hours."
"도움이 되면 좋겠어요.","Hope this is helpful."
"복도","hallway"
"복도 끝에","at the end of the hallway"
"고등학교 때부터","since highschool"
"꽤 됬어요","for quite a long time"
"남쪽","South(ern)"
"북쪽","North(ern)"
"저쪽","West(ern)"
"동쪽","East(ern)"
"장미","rose (flower)"
"직장","workplace; job"
"신입 회원","new member"
"사회학","social science"
"미혼","single (unmarried)"
"연습할 수 있는 시간","time for studying/practicing"
"반대로","opposite (adj)"
"활발하다","lively; animated"
"해외","foreign/overseas"
"국적","nationality"
"함께","together"
"이웃","neighbor"
"친해지다","to become intimately acquainted"
"신문 기자가 되는 것","to be a newspaper reporter"
"...이/가 꿈이라고 했어요.","... is their dream. (indirect speech)"
"미팅하다","to go on a blind date"
"기혼","married"
"좋은 글","good writing"
"대화 연습","conversation practice"
"~지 말고","Don't do A, but do B"
"낫다","to healed, cured; to recover (e.g., from a cold)"
"떨어지다","to fail (e.g., a test, random drawing); to be declined"
"감기가 낫다","to recover from a cold"
"동아리 활동","extracurricular activity"
"평소에","ordinarily, usually"
"가요","South Korean pop music"
"건강해지고 싶다","to want to become healthy"
"규칙적","regular"
"규칙적으로 운동","regular exercise"
"신청하다","to apply (e.g., 수업)"
"지각하다","to arrive late"
"~하고 똑같","just like A"
"가입하다","to join (e.g., 동아리)"
"~(으)려면","if you intend to do something (abbr)"
"~(으)려고 하면","if you intend to do something (full form)"
"출력하다","to print"
"미리","beforehand"
"예매하다","to reserve a ticket"
"예약하다","to make a reservation"
"그냥 ... ~(으)면 되다","Just ... and you can ..."
"~만 ... ~(으)면 되다","You can ... only if ..."
"출입증","a pass (e.g., to get into restricted area)"
"5분만 걸으면 돼요.","You only need to walk for five minutes. (It's nearby.)"
"건강해지려면 어떻게 해야 해요?","If I want to be healthy, how must I go about it?"
"그냥 하루에 30분씩 걸으면 돼요.","(In order to do it) just walk 30 minutes a day."
"간단하다","to be simple/easy"
"따라하다","to imitate; to repeat (after)"
"~는대요","Indirect speech: present tense action verb (abbr of ~는다고 해요)"
"~대요","Indirect speech: present tense status verb (abbr of ~다고 해요)"
"~이래요","Indirect speech: present tense 이다 (abbr of ~이라고 해요)"
"~았/었대요","Indirect speech: past tense action verb (abbr of ~았/었다고 해요)"
"~을 거래요","Indirect speech: future tense action verb (abbr of ~을 거라고 해요)"
"~재요","Indirect speech: suggestion (abbr of ~자고 해요)"
"~(으)래요","Indirect speech: imperative (abbr of ~(으)라고 해요)"
"~냬요","Indirect speech: interrogative (abbr of ~냐고 해요)"
"자기","저/제 when reported by someone else using indirect speech"
"달래요","주세요 imperative indirect speech when reported speaker benefits from action (abbr)"
"달라고 했어요","주세요 imperative indirect speech when reported speaker benefits from action (full form)"
"모임","gathering, meeting"
"학생증","student ID"
"돈을 모으다","to amass wealth; to save up money"
"버튼을 누르다","to press a button"
"신청서를 쓰다","to fill out a form/application"
"선생님한테 전해 줘.","Tell to the teacher. (informal)"
"보고","report (non-physical)"
"보고서","report (document)"
"보고서 출력하다","to print a report"
"가는 길이다","on my way"
"~에 가는 길이다","on my way to..."
"복도 오른쪽 끝에","On the right side at the end of the hall"
"그 얘기 들었어?","Have you heard? (informal)"
"너도 갈 거지?","Won't you go? (informal)"
"~에서 모이다","to gather/to up at (place)"
"~에 모이다","to gather/to up at (time)"
"정문","front door"
"정문 앞에서 아홉 시에 모인대.","(We'll) meet up in front of front door at 9am."
"교환 학생","exchange student"
"~에 관심이 많다","to have a lot of interest in..."
"느끼다","to feel (emotions)"
"느낀 점","something you felt/feelings (past)"
"궁금하다","to be curious"
"이상이다","to be more than..."
"학점이 3.0 이상이다","to have 3.0 grade point average (or better)"
"새로운 환경","new environment"
"점점","gradually"
"적응하다","to adjust, to adapt"
"새롭다","to be new"
"~에 익숙해지다","to get used to (active)"
"익숙하게 되다","to become used to (passive)"
"생기다","to emerge; to appear"
"해 주고 싶은 말","what you want to suggest to them to do"
"후재","a junior or someone younger in an organization"
"자신감","confidence"
"한국 친구들이 저한테 한국 사람이 다 됐대요.","My korean friends said to me that I've become Korean."
"문제를 해결하다","to resolve a problem"
"물론","of course, naturally"
"늘다","to improve (e.g., in a foreign language); to increase"
"~는 편이다","Something is most likely/fairly ... (present tense action verb + 있다/없다)"
"~은 편이다","Something is most likely/fairly ... (status tense action verb + 이다/아니다)"
"방값","rent"
"한국어 실력","Korean skills"
"미나씨는 성격이 밝은 편이에요.","Mina's personality is fairly bright."
"읽고 쓰는 것은 잘하는 편이에요.","(His) reading and writing are fairly good."
"재미있는 편이었어요.","It was fairly interesting."
"~긴 하다","It's true that ... (abbr)"
"~기는 하다","It's true that ... (full form)"
"~긴 하지만","It's true, but ... (abbr)"
"월세","monthly rent"
"전세","key money (lease with 50-80% deposit)"
"월세가 좀 비싸긴 하지만 깨끗하고 좋아요.","It's true that the rent is a little expensive, but it's clean and nice."
"요즘 공부를 열심히 하네요.","You must be studying hard. (Just found out something)"
"성적이 좋아지지 않아서 걱정이에요.","My grades are not improving so I'm worried."
"품질","quality"
"싸긴 하지만 품질은 안 좋은 것 같아요.","It's true that it's cheap, but it looks like the quality isn't good."
"체육관이 몇 시에 문을 여는지 아세요?","Do you know what time the gymnasium opens?"
"한국어 공부가 어렵긴 하지만 재미있어요.","It's true that studying Korean is hard, but it's interesting."
"특징","special feature/distinction"
"집의 특징","special features of (your) home"
"지은 지 얼마 안 됐어요.","It hasn't been built that long ago."
"상가","commercial area"
"주택가","residential area"
"공기가 맑다","to have fresh air"
"전망이 좋다","to have a nice view"
"싱크","sink"
"유학","study abroad"
"매점","snack bar"
"등의 시설","other facilities"
"... 원 정도이다","To cost as much as ... won."
"추첨","random drawing"
"전기","electric"
"요금","fare/charged"
"포함되다","to be included"
"거실","living room"
"비슷하다","to be similar"
