"사이","in between"
"가운데","in the middle"
"책장","bookshelf"
"위","on"
"뒤","behind"
"인형","teddy bear"
"옷걸이","coat hanger"
"공","zero (phone num)"
"영","zero (except phone num)"
"번 버스","bus number"
"마리","animals counter"
"열","10 (native)"
"스물","20 (native)"
"서른","30 (native)"
"마흔","40 (native)"
"쉰","50 (native)"
"예순","60 (native)"
"일흔","70 (native)"
"여든","80 (native)"
"아흔","90 (native)"
"백","100 (Sino, native)"
"아까","while ago"
"뚱뚱하다","to be overweight"
"~았/었었어요","past perfect tense (past action is complete)"
"중국에써 살았었어요","I lived in China. (no longer true)"
"~지 못하다","To not do something (more formal than 못)"
"키가 작다","to be short"
"키가 커요","to be tall"
"부치다","to ship/send"
"인도 사람","Indian person"
"입학하다","to be accepted to university"
"남다","to be remaining"
"가위","scissors"
"자르다","to cut (e.g., using scissors)"
"밀가루","wheat flour"
"칼","knife"
"트럭","truck"
"쌀","rice (uncooked)"
"목이 말라요","I'm thirsty"
"공항","airport"
"청바지","jeans"
"~처럼","like, similar to (hint: starts with ㅊ)"
"~같이","like, similar to (hint: starts with ㄱ)"
"천사","angel"
"영화배우","movie actor"
"잘생기다","to be handsome"
"인형","doll"
"부드럽다","to be soft"
"호랑이","tiger"
"토끼","rabbit"
"거북이","turtle"
"호랑이처럼 무섭다","scary like a tiger (idiom)"
"토끼처럼 귀엽다","cute like a rabbit (idiom)"
"거북이처럼 느리다","slow like a turtle (idiom)"
"바다처럼 마음이 넓다","generous like the ocean (idiom)"
"덜","less"
"국기","flag"
"집집마다","all households"
"~거나","or (for verbs)"
"생강차","ginger tea"
"결혼기념일","wedding anniversary"
"낮에","in the daytime"
"월급","salary"
"준비운동","warm-up exercises"
"이사한 후에 하는 파티","house-warming party"
"김 부장님","Manager Kim"
"서다","to stand"
"까다","to peel (using fingers)"
"깍다","to peel (using knife)"
"시험지","answer sheet (for a student taking test)"
"조심하다","to be careful"
"증","in the process of (noun)"
"~는 중","in the process of (verb)"
"공사하다","to be constructed"
"지하철 공사 증입니다","The subway is under construction (증)"
"지하철 공사하는 중입니다","The subway is under construction (~는 중)"
"~자마자","as soon as"
"집에 오자마자 잤어요.","I slept as soon as I got home."
"소방차","firetruck"
"불이 나자마자 소방차가 왔어요.","The firetruck came as soon as the fire started."
"눕다","to lie down"
"곰","bear"
"겨울잠을 자다","to hibernate"
"~는 동안","during (verb)"
"얼마 동안 한국에 있을 거예요?","How long will you be in Korea? (동안)"
"방문하다","to visit (formal)"
"면세점","duty-free shop"
"~(으)ㄴ 지","since (verb)"
"한국에 온 지 2년이 되었어요.","It's been two years since coming to Korea. (~ㄴ 지)"
"끊다","to quit (e.g., smoking); to end (e.g., subscription)"
"넘다","to be over, or more than"
"컴퓨터게임을 한 지 5시간이 넘었어요.","You've been playing computer games for over 5 hours. (~ㄴ 지)"
"~(으)ㄴ 지 되다","to be ... since ..."
"~(으)ㄴ 지 넘다","to be more than ... since ..."
"~(으)ㄹ 수가 있다","really can (emphasize ability)"
"~(으)ㄹ 수가 없다","really can't (emphasize inability)"
"떡볶이가 매워서 먹을 수가 없어요.","Tteokbokki is spicy, so I really can't eat it."
"딸기잼","strawberry jam"
"삼겹살","BBQ pork belly"
"된장찌개","soybean paste stew"
"끓이다","to boil; to make stew, soup"
"어떻게 해요?","How do you do it?"
"~(으)십시오","requesting behavior (formal, polite)"
"사장님","director"
"~지 마세요","please don't (polite)"
"수업 시간에 자지 마세요.","Please don't sleep during class."
"~지 마십시오","please don't (formal, polite)"
"슬프다","to be sad"
"미리","in advance"
"사람이 많아서 미리 예약해야 돼요.","There are so many people that you need to reserve it in advance."
"~지 않아도 되다","to not be necessary"
"~(으)면 안 되다","to not be permitted"
"내일은 휴가라서 회사에 가지 않아도 돼요.","Tomorrow is a holiday, so I don't have to go to the office."
"실내","indoors"
"실내에서 담배를 피우면 안 돼요.","Smoking indoors is not permitted."
"~아/어도 돼다?","May I ...? (seeking approval)"
"여기 앉아도 돼요?","May I sit here?"
"라디오를 켜도 돼요?","May I turn on the radio?"
"창문을 열어도 돼요?","May I open the window?"
"지금 길을 건너면 안 돼요.","You may not cross the street right now."
"유치원생","preschooler"
"버스 요금","bus fare"
"평일","weekday"
"정장","suits"
"금요일에는 정장을 입지 않아도 돼요.","You don't have to wear a suit on Fridays."
"~고 싶어 하다","someone else wants to..."
"~아/어지다","to become or be (adj)"
"에린 씨는 차를 사고 싶어 해요.","Erin wants to buy a car."
"날씬해지고 싶어요.","I want to become slim."
"~았/었으면 촣겠다","I wish that..."
"돈이 많았으면 좋겠어요.","I wish I had a lot of money. (촣겠다)"
"크리스마스에 눈이 왔으면 좋겠어요.","I hope it snows on Christmas. (촣겠다)"
"오늘 약속이 있으니까 내일 만날까요?","I have obligations today; can we meet tomorrow?"
"미끄럽다","to be slippery"
"외국인","foreigner"
"외국인이기 때문에 한국말을 잘 못해요.","Because I'm a foreigner I can't speak Korean well."
"~기 때문에","because (verb, adj)"
"귀엽기 때문에","because it's cute..."
"~아/어 드리세요","Please do ... (recipient someone else)"
"자리를 안내해 드리세요.","Please show them to their seat."
"이 옷이 민우 씨에게 안 어울려요.","These clothes don't suit you, Minu."
"~아/어 줄게요","Let me ... (volunteer help)"
"~아/어 줄까요?","Shall I ...? (volunteer help)"
"한번 입어 보세요.","Please try this on."
"이 신발 신어 봐도 돼요?","May I try on these shoes?"
"지각하다","to be late"
"회사에 지각한 적이 없어요.","I've never been late to work."
"~(으)ㄴ 적이 있다","to have experienced"
"~(으)ㄴ 적이 없다","to have not experienced"
"~아/어 본 적이 있다","to have ever tried something"
"연예인","celebrity"
"놓다","to place"
"~(으)ㅂ시다","let's (statement)"
"~지 맙시다","let's not (statement)"
"~(으)시겠어요?","would you like? (formal, polite)"
"3시까지 갈게요","I'll be there by 3 o'clock"
"전통","traditional"
"기념풍","souvenir"
"~지 않을래요?","Wouldn't you like?"
"~겠어요","Expresses will or intention, or states something this will happen"
"아침마다 운동하겠어요.","I'm going to exercise every morning."
"이제 술을 마시지 않겠어요.","I won't drink alcohol any more."
"내일은 비가 오겠습니다.","It will rain tomorrow."
"통역하다","to interpret"
"잠시 후에는","shortly"
"내일은 꼭 가지고 올게요.","I'll definitely bring it tomorrow."
"그만 먹을래요.","I'm done eating."
"그만하다","to stop"
"추운데 창문을 닫을까요?","Since it's cold, shall I close the window?"
"백화점에 가는데 같이 갈래요?","I'm going to the department store; would you like to join me?"
"편리하다","to be convenient"
"집에 오니까 밤 12시였어요.","When I arrived home, it was midnight."
"집에 들어오니까 맛있는 냄새가 나요.","When I got home, there was a delicious smell."
"아무도 없다","there is nobody"
"집에 오니까 어머니가 계셨어요.","When I arrived home, mom was there."
"팬들","fans (e.g., of a celebrity)"
"옷을 사려고 돈을 찾아요.","I'm withdrawing money to buy clothes."
"아까","a little while ago"
"아까 만났는데 왜 또 전화했어요?","We just met a little while ago, so why are you calling again?"
"낳다","to give birth; to lay an egg"
"결혼하면 아이를 두 면 낳으려고 해요.","When I get married, I plan on having two kids."
"~(으)려고 했다","to have planned (but didn't go as intended)"
"보너스","bonus (pay)"
"군인","soldiers"
