"서 있다","to be standing"
"앉아 있다","to be sitting"
"과자","snacks"
"부츠","boots"
"스웨터","sweater"
"운동화","sneakers"
"자판기","vending machine"
"조끼","vest"
"웃다","to smile"
"닭갈비","spicy stir-fried chicken"
"시내","downtown"
"인형극","puppet show"
"팀","team"
"또","again"
"훨씬","much, far, a lot"
"그 중에서","amongst those"
"가져가다","to take"
"가져오다","to bring"
"연락하다","to contact"
"서류","documents"
"셔츠","shirt"
"체크무늬","checkered (pattern)"
"수업자료","class material"
"문신","tattoo"
"문신 제거","tattoo removal"
"시술 받다","to receive a procedure"
"간지럽다","to be itchy"
"밴드 부치다","to wear a bandaid"
"기후변화","climate change"
"유제품","dairy products"
"언제나","some day"
"아이 기르다","to raise a child"
"하프 마라톤","half marathon"
"비디오게임","video games"
"쓰레기 버리다","to take out the trash"
"결석하다","to be absent"
"역사","history"
"운동화 신다","to wear sneakers"
"선글라스 쓰다","to wear sunglasses"
"목걸이 하다","to wear a necklace"
"모자 쓰다","to wear a hat"
"장갑 끼다","to wear gloves"
"귀걸이 끼다","to wear earrings"
"귀걸이 긴 사람","the person wearing earrings"
"목걸이를 한 사람","the person wearing the necklace"
"부즈","boots"
"완성하다","to complete (e.g., 문장)"
"공연하다","to perform"
"장","photo or sheets of paper (counter)"
"훨씬 맛있다","to be very delicious"
"분한","North Korea"
"~다가","change in action (interruption)"
"A하고 ~기로 했어요.","to promised to do something with A"
"~(으)니까","because (commanding/suggesting)"
"~겠","politeness; you must be..."
"~다고 하다","indirect quotation (present-tense adj)"
"~(ㄴ/는)다고 하다","indirect quotation (present-tense verb)"
"~자고 하다","indirect quotation (to suggest)"
"~냐고 하다","indirect quotation (to ask)"
"~라고 하다","indirect quotation (to demand)"
"~냐?","informal grammatical ending when asking a question"
"밥 먹었냐?","Have you eaten? (informal)"
"~라!","informal grammatical ending when commanding"
"학교 가라!","Go to school! (informal)"
"~자","informal grammatical ending for suggestion"
"밥을 먹자!","Let's eat! (informal)"
"교정기","braces (teeth)"
"교정기 쓰다","to wear braces (teeth)"
"주중","weekdays"
"가장","the most"
"가장 종아하는 음식","(your) most favorite food"
"기억에 남다","to be memorable"
"갓고있다","to have, to possess"
"A와/과 같다","to be the same as A"
"~ㄹ/을 것이다","I will... (noun modifier)"
"나는 밥을 먹을 것이다.","I will eat rice. (noun modifier)"
"~ㄹ/을 것 같다","will probably/might (noun modifier)"
"나는 밥을 먹을 것 같다.","I might eat rice. (noun modifier)"
"잘 한 것 같다.","It worked out well. (noun modifier)"
"~(으)면 좋겠다","It'd be nice if..."
"숙제 다 할수 없을 것 같다.","I probably won't be able to do all my homework."
"오랫동안 조깅","long run"
"수리하다","to repair (e.g., 차)"
"싸우다","to fight, argue"
"화를 내다","to get angry"
"우울하다","to be gloomy"
"아랫집","a house just below"
"윗집","a house just above"
"고민이 있다","to have concerns"
"다른 데에 가다","to go elsewhere"
"몸이 안 좋다","to not feel well"
"시험을 못 보다","couldn't take a test; didn't do well on the test"
"힘이 없다","to feel lethargic"
"그럽시다","let's do it"
"왜 그럴까요?","Do you know why that's the case?"
"이게 무슨 소리예요?","what is that noise?"
"제 생각에는","in my opinion"
"느낌","feeling"
"자유롭게 이야기하다","to speak freely"
"사람마다 생각이 달라요.","Everyone has different ideas."
"안 좋은 일이 있어요?","Is something wrong?"
"움직이다","to move around (body)"
"결혼식","wedding ceremony"
"결혼식장","wedding hall"
"신랑","groom"
"커피잔 세트","a set of coffee cups"
"교통사고가 나다","to be a car accident"
"길을 공사하다","the street is under construction"
"근처에 다 왔어요.","I am almost there."
"뭐 하는 분이세요?","What do you do?"
"10 분 남았어요.","There is 10 minutes left."
"양말 신다","to wear socks"
"스타킹 신다","to wear stockings"
"반지 끼다","to wear ring"
"시계 차다","to wear a watch"
"팔찌","bracelet"
"팔찌 차다","to wear a bracelet"
"가방 들다","to carry a bag"
"비밀의숲","Korean name for the drama called 'Forest of Secrets', or 'Stranger'."
"'A'(이)라는 B","An B called 'A'"
"'비밀의숲'이라는 드라마","A drama called '비밀의숲'"
"그런 것 같아요.","It seems that way."
"집에 문제","family issues"
"~은 것 같다","It seems like (present-tense status verb)"
"~는 것 같다","It seems like (present-tense action verb)"
"~ㄴ/은 것 같다","It seems like (past-tense verb)"
"~ㄹ/을 것 같다","It seems like (future-tense verb)"
"기분이 어때요?","How are you feeling?"
"좋은 것 같아요.","Looks like they're feeling good."
"슬픈 것 같아요.","Looks like they're sad."
"피아노를 치는 것 같아요.","Looks like they're playing piano."
"어제 늦게까지 시험 공부한 것 같아요.","Looks like they stayed up late yesterday studying for the test."
