"아까 제가 먹은 피자","the pizza I was just eating"
"제가 책상위에 놓은 지갑","the wallet I put on the table"
"제가 만든 김치","the kimchi I made"
"노란 장갑 긴 할머니","the older woman wearing yellow gloves"
"남자아이","boy"
"여자아이","girl"
"눈이 온다","It's snowing (talking to self)"
"~ㄹ 것 같아요","It's like... (future)"
"~은 것 같아요","It's like... (present)"
"~ㄴ 것 같아요","It's like... (past)"
"상사","boss"
"~자고 하다","Indirect speech (suggest to do together)"
"~라고 하다","Indirect speech (request/tell)"
"~ㄴ/는 다고 했어요","Indirect speech (statement, present tense)"
"밥 먹었냐?","Have you eaten? (very close relationship)"
"밥 먹었냐고 했어요.","They asked if you have eaten."
"~다고 하다","Indirect speech (status verb)"
"이번 주말에 날씨가 좋은데 뭐 하세요?","The weather this weekend will be nice; what are you up to?"
"가 봤어요?","Have you tried going? (short form)"
"간 적이 있어요?","Have you tried going? (medium form)"
"가 본 적이 있어요?","Have you tried going? (long form)"
"하교 어떻게 가는지 아세요?","Do you know how to get to school?"
"뭐 멋은지 아세요?","Do you know what was eaten? (past)"
"뭐 멋는지 아세요?","Do you know know is being eaten? (present)"
"뭐 먹을지 아세요?","Do you know what will be eaten? (future)"
"북한","North Korean"
"어렵다고 생각합니다.","I think it's hard. (deferential)"
