오소리,badger
풍선,balloon
박쥐,bat (animal)
턱받이,bib
검은색,black (color)
블록,blocks
낙타,camel
시리얼,"cereal (e.g., Cheerios)"
까마귀,crow
사슴,deer
물지 마.,Don’t bite. (informal)
용,dragon
잠자리,dragonfly
북,drum
소방차,fire truck
반딧불이,firefly
팔랑,"flapping (e.g., elephant’s ears, butterfly’s wings)"
거위,goose
고릴라,gorilla
햄스터,hamster
고슴도치,hedgehog
해파리,jellyfish
씰룩씰룩,"jiggling (e.g., elephant’s butt, variant 1)"
실룩실룩,"jiggling (e.g., elephant’s butt, variant 2)"
연,kite
잎/이파리 ,leaf
생쥐,mouse
올빼미,owl
앵무새,parrot
비둘기,pigeons
로봇,robot
로켓,rocket
스쿠터 ,scooter (toy)
해마,seahorse
스컹크,skunk
나무늘보,sloth
달팽이,snail
거미,spider
그네,swing (at playground)
세발자전거,tricycle
실로폰,xylophone
