"모은 돈","saved money"
"세계","world"
"시골","rural area, countryside"
"중요하다","to be quiet"
"조용하다","to be important"
"글","writing"
"문학","literature"
"기회","chance, opportunity"
"항공사","airline"
"평일","weekdays"
"높은 충에 올라가다","to go up to a high floor"
"오래되다","to be old/aged"
"무료하다","to be bored"
"무료","free; complimentary"
"소중한 물건","precious things"
"밥솥","rice cooker"
"디카","digital camera"
"밥을 하다","to cook rice/food"
"밥을 해 먹다","to eat self-made food"
"믹서","mixer"
"밖에서 사 먹는 일","time that I eat food that I ordered out"
"남쪽","south"
"복쪽","north"
"남서쪽","southwest"
"서쪽","west"
"동쪽","east"
"캐나다는 세계에서 두 번째로 큰 나라이에요.","Canada is the second largest country in the world."
"해마다","annually"
"A과 B 다른 것이 많습니다.","A and B are very different places."
"서울에는 밤늦게까지 문을 여는 가게들이 많아요.","In Seoul, there are many place that are open until late at night."
"가족들을 못 본 지 6개월 됐어요.","It's been 6 months since I've seen my family."
"자연","nature"
"고래","whale"
"북극곰","polar bear"
"대회","competition"
"열리다","to take place"
